id,category,oeis_xref,A,total_n,train_n,k,sc,pred_sc,solomonoff_class,mdl,raw_bits,ratio,time_s,solver_desc
tot3_0696_shuf,self,,3,500,375,125,89,0,neither,36.35,792.48,0.0459,592.608,FUNC d=3
tot3_0706_shuf,self,,3,500,375,125,10,0,neither,48.87,792.48,0.0617,592.670,ITER d=4
tot3_0731_shuf,self,,3,500,375,125,13,0,neither,56.29,792.48,0.0710,592.688,STEP off=103 halt=0
tot3_0744_shuf,self,,3,500,375,125,110,0,neither,63.20,792.48,0.0797,594.457,STEP off=291 halt=9
tot3_0763_shuf,self,,3,500,375,125,13,0,neither,49.37,792.48,0.0623,592.424,ITER d=3
tot3_0767_shuf,self,,3,500,375,125,248,0,neither,52.66,792.48,0.0665,594.846,STEP off=0 halt=48
tot3_0816_shuf,self,,3,500,375,125,134,0,neither,29.90,792.48,0.0377,592.929,FUNC d=2
tot3_0818_shuf,self,,3,500,375,125,13,0,neither,59.70,792.48,0.0753,592.601,STEP off=103 halt=5
tot3_0839_shuf,self,,3,500,375,125,10,0,neither,51.16,792.48,0.0646,592.422,P2H_FUNC d=5 R0
tot3_0843_shuf,self,,3,500,375,125,11,0,neither,56.88,792.48,0.0718,592.628,STEP off=201 halt=2
tot3_0863_shuf,self,,3,500,375,125,375,125,discovered,21.43,792.48,0.0270,57.090,CTX_X nr=1 d=5 perm=(0) out=R0 L=1
tot3_0870_shuf,self,,3,500,375,125,15,0,neither,58.04,792.48,0.0732,592.497,STEP off=91 halt=3
tot3_0892_shuf,self,,3,500,375,125,15,0,neither,66.07,792.48,0.0834,592.494,STEP off=313 halt=28
tot3_0899_shuf,self,,3,500,375,125,12,0,neither,59.63,792.48,0.0752,592.427,STEP off=337 halt=1
tot3_0951_shuf,self,,3,500,375,125,103,0,neither,85.92,792.48,0.1084,594.626,NESTED_LOOP L=4
tot3_0953_shuf,self,,3,500,375,125,16,0,neither,55.46,792.48,0.0700,593.098,STEP off=184 halt=0
tot3_0964_shuf,self,,3,500,375,125,13,0,neither,57.66,792.48,0.0728,592.588,STEP off=109 halt=7
tot3_0977_shuf,self,,3,500,375,125,11,0,neither,56.55,792.48,0.0714,592.521,STEP off=117 halt=0
tot3_0984_shuf,self,,3,500,375,125,64,0,neither,48.12,792.48,0.0607,593.221,FUNC_L d=4
tot3_1017_shuf,self,,3,500,375,125,239,0,neither,63.11,792.48,0.0796,594.456,STEP off=192 halt=8
tot3_1025_shuf,self,,3,500,375,125,113,0,neither,49.45,792.48,0.0624,594.603,STEP off=0 halt=111
tot3_1035_shuf,self,,3,500,375,125,112,0,neither,63.19,792.48,0.0797,595.134,STEP off=289 halt=9
tot3_1054_shuf,self,,3,500,375,125,13,0,neither,62.31,792.48,0.0786,592.435,STEP off=77 halt=19
tot3_1069_shuf,self,,3,500,375,125,14,0,neither,58.64,792.48,0.0740,592.433,STEP off=297 halt=2
tot3_1097_shuf,self,,3,500,375,125,135,0,neither,60.38,792.48,0.0762,594.567,STEP off=324 halt=4
tot3_1105_shuf,self,,3,500,375,125,362,0,neither,51.99,792.48,0.0656,595.094,STEP off=0 halt=89
tot3_1115_shuf,self,,3,500,375,125,14,0,neither,54.99,792.48,0.0694,592.333,STEP off=89 halt=1
tot3_1127_shuf,self,,3,500,375,125,13,0,neither,55.42,792.48,0.0699,592.367,STEP off=68 halt=0
tot3_1130_shuf,self,,3,500,375,125,13,0,neither,58.74,792.48,0.0741,592.356,STEP off=357 halt=0
tot3_1144_shuf,self,,3,500,375,125,15,0,neither,47.12,792.48,0.0595,592.428,FUNC_L d=4
tot3_1148_shuf,self,,3,500,375,125,11,0,neither,47.87,792.48,0.0604,592.278,P2H_ITER d=4 r0=1
tot3_1157_shuf,self,,3,500,375,125,13,0,neither,47.87,792.48,0.0604,592.285,P2H_ITER d=4 r0=1
tot3_1167_shuf,self,,3,500,375,125,132,0,neither,24.90,792.48,0.0314,592.317,FUNC d=2
tot3_1194_shuf,self,,3,500,375,125,364,0,neither,52.75,792.48,0.0666,594.864,STEP off=0 halt=359
tot3_1197_shuf,self,,3,500,375,125,251,0,neither,62.99,792.48,0.0795,594.451,STEP off=180 halt=8
tot3_1200_shuf,self,,3,500,375,125,15,0,neither,59.49,792.48,0.0751,592.310,STEP off=274 halt=2
tot3_1204_shuf,self,,3,500,375,125,13,0,neither,54.84,792.48,0.0692,592.421,STEP off=52 halt=1
tot3_1213_shuf,self,,3,500,375,125,16,0,neither,57.00,792.48,0.0719,592.453,STEP off=56 halt=3
tot3_1217_shuf,self,,3,500,375,125,11,0,neither,43.87,792.48,0.0554,592.324,P2H_FUNC d=4 R0
tot3_1218_shuf,self,,3,500,375,125,330,0,neither,65.08,792.48,0.0821,594.581,STEP off=297 halt=13
